tag_id,tag_level,parent_tag_id,tag_name,tag_meaning,tag_criteria
AT-02-05,小分類,AT-02,進捗報告,企業活動のうち進捗報告に該当する記事,記事の主要な性質が進捗報告である場合
AT-02-06,小分類,AT-02,戦略発表,企業活動のうち戦略発表に該当する記事,記事の主要な性質が戦略発表である場合
AT-02-07,小分類,AT-02,投資,企業活動のうち投資に該当する記事,記事の主要な性質が投資である場合
AT-02-08,小分類,AT-02,設備導入,企業活動のうち設備導入に該当する記事,記事の主要な性質が設備導入である場合
AT-02-09,小分類,AT-02,製品・サービス,企業活動のうち製品・サービスに該当する記事,記事の主要な性質が製品・サービスである場合
AT-02-10,小分類,AT-02,技術導入,企業活動のうち技術導入に該当する記事,記事の主要な性質が技術導入である場合
AT-02-11,小分類,AT-02,調達方針,企業活動のうち調達方針に該当する記事,記事の主要な性質が調達方針である場合
AT-02-12,小分類,AT-02,サプライヤー施策,企業活動のうちサプライヤー施策に該当する記事,記事の主要な性質がサプライヤー施策である場合
AT-02-13,小分類,AT-02,提携,企業活動のうち提携に該当する記事,記事の主要な性質が提携である場合
AT-02-14,小分類,AT-02,買収・売却,企業活動のうち買収・売却に該当する記事,記事の主要な性質が買収・売却である場合
AT-02-15,小分類,AT-02,組織変更,企業活動のうち組織変更に該当する記事,記事の主要な性質が組織変更である場合
AT-02-16,小分類,AT-02,情報開示,企業活動のうち情報開示に該当する記事,記事の主要な性質が情報開示である場合
AT-02-17,小分類,AT-02,認証取得,企業活動のうち認証取得に該当する記事,記事の主要な性質が認証取得である場合
AT-02-18,小分類,AT-02,取組事例,企業活動のうち取組事例に該当する記事,記事の主要な性質が取組事例である場合
AT-02-19,小分類,AT-02,キャンペーン,企業活動のうちキャンペーンに該当する記事,記事の主要な性質がキャンペーンである場合
AT-03,大分類,,基準・イニシアチブ,基準設定機関・業界イニシアチブによる基準策定・共同取組を報じる記事種別,基準策定、認定、共同宣言、加盟等が中心の記事の場合
AT-03-01,小分類,AT-03,基準策定,基準・イニシアチブのうち基準策定に該当する記事,記事の主要な性質が基準策定である場合
AT-03-02,小分類,AT-03,基準改定,基準・イニシアチブのうち基準改定に該当する記事,記事の主要な性質が基準改定である場合
AT-03-03,小分類,AT-03,フレームワーク策定,基準・イニシアチブのうちフレームワーク策定に該当する記事,記事の主要な性質がフレームワーク策定である場合
AT-03-04,小分類,AT-03,ガイドライン,基準・イニシアチブのうちガイドラインに該当する記事,記事の主要な性質がガイドラインである場合
AT-03-05,小分類,AT-03,認定,基準・イニシアチブのうち認定に該当する記事,記事の主要な性質が認定である場合
AT-03-06,小分類,AT-03,評価方法改定,基準・イニシアチブのうち評価方法改定に該当する記事,記事の主要な性質が評価方法改定である場合
AT-03-07,小分類,AT-03,共同宣言,基準・イニシアチブのうち共同宣言に該当する記事,記事の主要な性質が共同宣言である場合
AT-03-08,小分類,AT-03,加盟・参加,基準・イニシアチブのうち加盟・参加に該当する記事,記事の主要な性質が加盟・参加である場合
AT-03-09,小分類,AT-03,離脱,基準・イニシアチブのうち離脱に該当する記事,記事の主要な性質が離脱である場合
AT-03-10,小分類,AT-03,目標設定,基準・イニシアチブのうち目標設定に該当する記事,記事の主要な性質が目標設定である場合
AT-03-11,小分類,AT-03,進捗報告,基準・イニシアチブのうち進捗報告に該当する記事,記事の主要な性質が進捗報告である場合
AT-04,大分類,,国際政策・研究,国際機関・研究機関による政策提言・研究成果を報じる記事種別,政策提言、統計、研究報告、シナリオ分析等が中心の記事の場合
AT-04-01,小分類,AT-04,政策提言,国際政策・研究のうち政策提言に該当する記事,記事の主要な性質が政策提言である場合
AT-04-02,小分類,AT-04,国際合意,国際政策・研究のうち国際合意に該当する記事,記事の主要な性質が国際合意である場合
AT-04-03,小分類,AT-04,統計,国際政策・研究のうち統計に該当する記事,記事の主要な性質が統計である場合
AT-04-04,小分類,AT-04,研究報告,国際政策・研究のうち研究報告に該当する記事,記事の主要な性質が研究報告である場合
AT-04-05,小分類,AT-04,科学的評価,国際政策・研究のうち科学的評価に該当する記事,記事の主要な性質が科学的評価である場合
AT-04-06,小分類,AT-04,シナリオ分析,国際政策・研究のうちシナリオ分析に該当する記事,記事の主要な性質がシナリオ分析である場合
AT-04-07,小分類,AT-04,リスク評価,国際政策・研究のうちリスク評価に該当する記事,記事の主要な性質がリスク評価である場合
AT-04-08,小分類,AT-04,市場分析,国際政策・研究のうち市場分析に該当する記事,記事の主要な性質が市場分析である場合
AT-04-09,小分類,AT-04,将来予測,国際政策・研究のうち将来予測に該当する記事,記事の主要な性質が将来予測である場合
AT-05,大分類,,調査・提言,NGO・投資家・評価機関等による調査・評価・提言を報じる記事種別,調査報告、企業評価、ランキング、批判・告発等が中心の記事の場合
AT-05-01,小分類,AT-05,調査報告,調査・提言のうち調査報告に該当する記事,記事の主要な性質が調査報告である場合
AT-05-02,小分類,AT-05,企業評価,調査・提言のうち企業評価に該当する記事,記事の主要な性質が企業評価である場合
AT-05-03,小分類,AT-05,ランキング,調査・提言のうちランキングに該当する記事,記事の主要な性質がランキングである場合
AT-05-04,小分類,AT-05,ベンチマーク,調査・提言のうちベンチマークに該当する記事,記事の主要な性質がベンチマークである場合
AT-05-05,小分類,AT-05,スコアリング,調査・提言のうちスコアリングに該当する記事,記事の主要な性質がスコアリングである場合
AT-05-06,小分類,AT-05,提言,調査・提言のうち提言に該当する記事,記事の主要な性質が提言である場合
AT-05-07,小分類,AT-05,キャンペーン,調査・提言のうちキャンペーンに該当する記事,記事の主要な性質がキャンペーンである場合
AT-05-08,小分類,AT-05,批判・告発,調査・提言のうち批判・告発に該当する記事,記事の主要な性質が批判・告発である場合
AT-05-09,小分類,AT-05,意識調査,調査・提言のうち意識調査に該当する記事,記事の主要な性質が意識調査である場合
AT-05-10,小分類,AT-05,事例研究,調査・提言のうち事例研究に該当する記事,記事の主要な性質が事例研究である場合
AT-06,大分類,,データ更新,データベース・データセットの更新自体を扱う記事種別,個別記事ではなく、API・データセット・統計等の更新が中心の場合
AT-06-01,小分類,AT-06,API更新,データ更新のうちAPI更新に該当する記事,記事の主要な性質がAPI更新である場合
AT-06-02,小分類,AT-06,データセット更新,データ更新のうちデータセット更新に該当する記事,記事の主要な性質がデータセット更新である場合
AT-06-03,小分類,AT-06,統計更新,データ更新のうち統計更新に該当する記事,記事の主要な性質が統計更新である場合
AT-06-04,小分類,AT-06,指標更新,データ更新のうち指標更新に該当する記事,記事の主要な性質が指標更新である場合
AT-06-05,小分類,AT-06,ダッシュボード更新,データ更新のうちダッシュボード更新に該当する記事,記事の主要な性質がダッシュボード更新である場合
AT-06-06,小分類,AT-06,データ訂正,データ更新のうちデータ訂正に該当する記事,記事の主要な性質がデータ訂正である場合
AT-06-07,小分類,AT-06,方法論更新,データ更新のうち方法論更新に該当する記事,記事の主要な性質が方法論更新である場合
AT-07,大分類,,ニュース・分析,一般的なニュース報道・解説・分析を扱う記事種別,速報、解説、分析、オピニオン等、報道・論評が中心の場合
AT-07-01,小分類,AT-07,ニュース,ニュース・分析のうちニュースに該当する記事,記事の主要な性質がニュースである場合
AT-07-02,小分類,AT-07,解説,ニュース・分析のうち解説に該当する記事,記事の主要な性質が解説である場合
AT-07-03,小分類,AT-07,分析,ニュース・分析のうち分析に該当する記事,記事の主要な性質が分析である場合
AT-07-04,小分類,AT-07,オピニオン,ニュース・分析のうちオピニオンに該当する記事,記事の主要な性質がオピニオンである場合
AT-07-05,小分類,AT-07,インタビュー,ニュース・分析のうちインタビューに該当する記事,記事の主要な性質がインタビューである場合
AT-07-06,小分類,AT-07,特集,ニュース・分析のうち特集に該当する記事,記事の主要な性質が特集である場合
AT-07-07,小分類,AT-07,イベント報告,ニュース・分析のうちイベント報告に該当する記事,記事の主要な性質がイベント報告である場合
AT-07-08,小分類,AT-07,速報,ニュース・分析のうち速報に該当する記事,記事の主要な性質が速報である場合
AT-08,大分類,,公表資料,企業・機関が公表する公式文書を扱う記事種別,プレスリリース、報告書、政策文書等の公表資料そのものを指す場合
AT-08-01,小分類,AT-08,プレスリリース,公表資料のうちプレスリリースに該当する記事,記事の主要な性質がプレスリリースである場合
AT-08-02,小分類,AT-08,年次報告書,公表資料のうち年次報告書に該当する記事,記事の主要な性質が年次報告書である場合
AT-08-03,小分類,AT-08,サステナビリティ報告書,公表資料のうちサステナビリティ報告書に該当する記事,記事の主要な性質がサステナビリティ報告書である場合
AT-08-04,小分類,AT-08,統合報告書,公表資料のうち統合報告書に該当する記事,記事の主要な性質が統合報告書である場合
AT-08-05,小分類,AT-08,ESGデータ集,公表資料のうちESGデータ集に該当する記事,記事の主要な性質がESGデータ集である場合
AT-08-06,小分類,AT-08,有価証券報告書,公表資料のうち有価証券報告書に該当する記事,記事の主要な性質が有価証券報告書である場合
AT-08-07,小分類,AT-08,政策文書,公表資料のうち政策文書に該当する記事,記事の主要な性質が政策文書である場合
AT-08-08,小分類,AT-08,会議資料,公表資料のうち会議資料に該当する記事,記事の主要な性質が会議資料である場合
AT-08-09,小分類,AT-08,議事録,公表資料のうち議事録に該当する記事,記事の主要な性質が議事録である場合
AT-08-10,小分類,AT-08,FAQ,公表資料のうちFAQに該当する記事,記事の主要な性質がFAQである場合
AT-09,大分類,,複合,複数の記事種別を継続的に扱うページ・データベースを表す記事種別,トップページ、検索結果ページ、ニュースアグリゲーター等、単一種別に分類できない場合
AT-09-01,小分類,AT-09,総合ニュースページ,複合のうち総合ニュースページに該当する記事,記事の主要な性質が総合ニュースページである場合
AT-09-02,小分類,AT-09,検索結果ページ,複合のうち検索結果ページに該当する記事,記事の主要な性質が検索結果ページである場合
AT-09-03,小分類,AT-09,ニュースアグリゲーター,複合のうちニュースアグリゲーターに該当する記事,記事の主要な性質がニュースアグリゲーターである場合
AT-09-04,小分類,AT-09,複合データベース,複合のうち複合データベースに該当する記事,記事の主要な性質が複合データベースである場合
