tag_id,tag_level,parent_tag_id,tag_name,tag_meaning,tag_criteria
RG-04-03,小分類,RG-04,英国,国の一つ（英国）,英国に適用・影響する規制・施策・動向を扱う場合
RG-04-04,小分類,RG-04,フランス,国の一つ（フランス）,フランスに適用・影響する規制・施策・動向を扱う場合
RG-04-05,小分類,RG-04,ベトナム,国の一つ（ベトナム）,ベトナムに適用・影響する規制・施策・動向を扱う場合
RG-04-06,小分類,RG-04,インド,国の一つ（インド）,インドに適用・影響する規制・施策・動向を扱う場合
RG-04-07,小分類,RG-04,オーストラリア,国の一つ（オーストラリア）,オーストラリアに適用・影響する規制・施策・動向を扱う場合
RG-04-08,小分類,RG-04,タイ,国の一つ（タイ）,タイに適用・影響する規制・施策・動向を扱う場合
RG-04-09,小分類,RG-04,スペイン,国の一つ（スペイン）,スペインに適用・影響する規制・施策・動向を扱う場合
RG-04-10,小分類,RG-04,中国,国の一つ（中国）,中国に適用・影響する規制・施策・動向を扱う場合
RG-04-11,小分類,RG-04,シンガポール,国の一つ（シンガポール）,シンガポールに適用・影響する規制・施策・動向を扱う場合
RG-04-12,小分類,RG-04,ドイツ,国の一つ（ドイツ）,ドイツに適用・影響する規制・施策・動向を扱う場合
RG-04-13,小分類,RG-04,イタリア,国の一つ（イタリア）,イタリアに適用・影響する規制・施策・動向を扱う場合
RG-04-14,小分類,RG-04,カナダ,国の一つ（カナダ）,カナダに適用・影響する規制・施策・動向を扱う場合
RG-04-15,小分類,RG-04,メキシコ,国の一つ（メキシコ）,メキシコに適用・影響する規制・施策・動向を扱う場合
RG-04-16,小分類,RG-04,ブラジル,国の一つ（ブラジル）,ブラジルに適用・影響する規制・施策・動向を扱う場合
RG-04-17,小分類,RG-04,インドネシア,国の一つ（インドネシア）,インドネシアに適用・影響する規制・施策・動向を扱う場合
RG-04-18,小分類,RG-04,マレーシア,国の一つ（マレーシア）,マレーシアに適用・影響する規制・施策・動向を扱う場合
RG-04-19,小分類,RG-04,韓国,国の一つ（韓国）,韓国に適用・影響する規制・施策・動向を扱う場合
RG-04-20,小分類,RG-04,ニュージーランド,国の一つ（ニュージーランド）,ニュージーランドに適用・影響する規制・施策・動向を扱う場合
RG-04-21,小分類,RG-04,オランダ,国の一つ（オランダ）,オランダに適用・影響する規制・施策・動向を扱う場合
RG-04-22,小分類,RG-04,ベルギー,国の一つ（ベルギー）,ベルギーに適用・影響する規制・施策・動向を扱う場合
RG-04-23,小分類,RG-04,スイス,国の一つ（スイス）,スイスに適用・影響する規制・施策・動向を扱う場合
RG-04-24,小分類,RG-04,アイルランド,国の一つ（アイルランド）,アイルランドに適用・影響する規制・施策・動向を扱う場合
RG-04-25,小分類,RG-04,デンマーク,国の一つ（デンマーク）,デンマークに適用・影響する規制・施策・動向を扱う場合
RG-04-26,小分類,RG-04,スウェーデン,国の一つ（スウェーデン）,スウェーデンに適用・影響する規制・施策・動向を扱う場合
RG-04-27,小分類,RG-04,ノルウェー,国の一つ（ノルウェー）,ノルウェーに適用・影響する規制・施策・動向を扱う場合
RG-04-28,小分類,RG-04,フィンランド,国の一つ（フィンランド）,フィンランドに適用・影響する規制・施策・動向を扱う場合
RG-04-29,小分類,RG-04,オーストリア,国の一つ（オーストリア）,オーストリアに適用・影響する規制・施策・動向を扱う場合
RG-04-30,小分類,RG-04,ポーランド,国の一つ（ポーランド）,ポーランドに適用・影響する規制・施策・動向を扱う場合
RG-04-31,小分類,RG-04,ポルトガル,国の一つ（ポルトガル）,ポルトガルに適用・影響する規制・施策・動向を扱う場合
RG-04-32,小分類,RG-04,南アフリカ,国の一つ（南アフリカ）,南アフリカに適用・影響する規制・施策・動向を扱う場合
RG-05,大分類,,州・自治体,国より細かい地域への適用,国よりも細かい行政区分（州、都市等）に対する規制・施策を扱う場合
RG-05-01,小分類,RG-05,California,州・自治体の一つ（California）,Californiaに適用・影響する規制・施策・動向を扱う場合
RG-05-02,小分類,RG-05,New York,州・自治体の一つ（New York）,New Yorkに適用・影響する規制・施策・動向を扱う場合
RG-05-03,小分類,RG-05,Texas,州・自治体の一つ（Texas）,Texasに適用・影響する規制・施策・動向を扱う場合
RG-05-04,小分類,RG-05,Washington,州・自治体の一つ（Washington）,Washingtonに適用・影響する規制・施策・動向を扱う場合
RG-05-05,小分類,RG-05,Oregon,州・自治体の一つ（Oregon）,Oregonに適用・影響する規制・施策・動向を扱う場合
RG-05-06,小分類,RG-05,Colorado,州・自治体の一つ（Colorado）,Coloradoに適用・影響する規制・施策・動向を扱う場合
RG-05-07,小分類,RG-05,Massachusetts,州・自治体の一つ（Massachusetts）,Massachusettsに適用・影響する規制・施策・動向を扱う場合
RG-05-08,小分類,RG-05,Illinois,州・自治体の一つ（Illinois）,Illinoisに適用・影響する規制・施策・動向を扱う場合
RG-05-09,小分類,RG-05,Florida,州・自治体の一つ（Florida）,Floridaに適用・影響する規制・施策・動向を扱う場合
RG-05-10,小分類,RG-05,District of Columbia,州・自治体の一つ（District of Columbia）,District of Columbiaに適用・影響する規制・施策・動向を扱う場合
