tag_id,tag_level,parent_tag_id,tag_name,tag_meaning,tag_criteria
SJ-01-13,小分類,SJ-01,Asahi Group Holdings,具体的な主体の一つ（Asahi Group Holdings）,Asahi Group Holdingsの動向・決定・発表が記事の主要論点である場合
SJ-01-14,小分類,SJ-01,Kirin Holdings,具体的な主体の一つ（Kirin Holdings）,Kirin Holdingsの動向・決定・発表が記事の主要論点である場合
SJ-01-15,小分類,SJ-01,ITO EN,具体的な主体の一つ（ITO EN）,ITO ENの動向・決定・発表が記事の主要論点である場合
SJ-01-16,小分類,SJ-01,Coca-Cola Europacific Partners,具体的な主体の一つ（Coca-Cola Europacific Partners）,Coca-Cola Europacific Partnersの動向・決定・発表が記事の主要論点である場合
SJ-01-17,小分類,SJ-01,Nestle,具体的な主体の一つ（Nestle）,Nestleの動向・決定・発表が記事の主要論点である場合
SJ-01-18,小分類,SJ-01,Danone,具体的な主体の一つ（Danone）,Danoneの動向・決定・発表が記事の主要論点である場合
SJ-01-19,小分類,SJ-01,Unilever,具体的な主体の一つ（Unilever）,Unileverの動向・決定・発表が記事の主要論点である場合
SJ-01-20,小分類,SJ-01,Mondelez International,具体的な主体の一つ（Mondelez International）,Mondelez Internationalの動向・決定・発表が記事の主要論点である場合
SJ-02,大分類,,その他企業,競合外の業界企業,業界ベンチマークとして重要な企業活動の場合
SJ-02-01,小分類,SJ-02,食品・飲料企業,その他企業のうち食品・飲料企業に該当する主体,食品・飲料企業に該当する主体の動向・決定・発表が記事の主要論点である場合
SJ-02-02,小分類,SJ-02,酒類企業,その他企業のうち酒類企業に該当する主体,酒類企業に該当する主体の動向・決定・発表が記事の主要論点である場合
SJ-02-03,小分類,SJ-02,FMCG企業,その他企業のうちFMCG企業に該当する主体,FMCG企業に該当する主体の動向・決定・発表が記事の主要論点である場合
SJ-02-04,小分類,SJ-02,外食企業,その他企業のうち外食企業に該当する主体,外食企業に該当する主体の動向・決定・発表が記事の主要論点である場合
SJ-02-05,小分類,SJ-02,小売企業,その他企業のうち小売企業に該当する主体,小売企業に該当する主体の動向・決定・発表が記事の主要論点である場合
SJ-02-06,小分類,SJ-02,EC・プラットフォーム企業,その他企業のうちEC・プラットフォーム企業に該当する主体,EC・プラットフォーム企業に該当する主体の動向・決定・発表が記事の主要論点である場合
SJ-03,大分類,,バリューチェーン企業,上下流企業の動向,サントリーの調達・製造・販売へ影響し得る場合
SJ-03-01,小分類,SJ-03,農業・原料生産,バリューチェーン企業のうち農業・原料生産に該当する主体,農業・原料生産に該当する主体の動向・決定・発表が記事の主要論点である場合
SJ-03-02,小分類,SJ-03,原料加工,バリューチェーン企業のうち原料加工に該当する主体,原料加工に該当する主体の動向・決定・発表が記事の主要論点である場合
SJ-03-03,小分類,SJ-03,素材・化学,バリューチェーン企業のうち素材・化学に該当する主体,素材・化学に該当する主体の動向・決定・発表が記事の主要論点である場合
SJ-03-04,小分類,SJ-03,容器・包装,バリューチェーン企業のうち容器・包装に該当する主体,容器・包装に該当する主体の動向・決定・発表が記事の主要論点である場合
SJ-03-05,小分類,SJ-03,製造設備,バリューチェーン企業のうち製造設備に該当する主体,製造設備に該当する主体の動向・決定・発表が記事の主要論点である場合
SJ-03-06,小分類,SJ-03,物流・倉庫,バリューチェーン企業のうち物流・倉庫に該当する主体,物流・倉庫に該当する主体の動向・決定・発表が記事の主要論点である場合
SJ-03-07,小分類,SJ-03,商社,バリューチェーン企業のうち商社に該当する主体,商社に該当する主体の動向・決定・発表が記事の主要論点である場合
SJ-03-08,小分類,SJ-03,卸売,バリューチェーン企業のうち卸売に該当する主体,卸売に該当する主体の動向・決定・発表が記事の主要論点である場合
SJ-03-09,小分類,SJ-03,小売,バリューチェーン企業のうち小売に該当する主体,小売に該当する主体の動向・決定・発表が記事の主要論点である場合
SJ-03-10,小分類,SJ-03,外食,バリューチェーン企業のうち外食に該当する主体,外食に該当する主体の動向・決定・発表が記事の主要論点である場合
SJ-03-11,小分類,SJ-03,廃棄物処理,バリューチェーン企業のうち廃棄物処理に該当する主体,廃棄物処理に該当する主体の動向・決定・発表が記事の主要論点である場合
SJ-03-12,小分類,SJ-03,リサイクル,バリューチェーン企業のうちリサイクルに該当する主体,リサイクルに該当する主体の動向・決定・発表が記事の主要論点である場合
SJ-03-13,小分類,SJ-03,エネルギー・ユーティリティ,バリューチェーン企業のうちエネルギー・ユーティリティに該当する主体,エネルギー・ユーティリティに該当する主体の動向・決定・発表が記事の主要論点である場合
SJ-03-14,小分類,SJ-03,IT・データ,バリューチェーン企業のうちIT・データに該当する主体,IT・データに該当する主体の動向・決定・発表が記事の主要論点である場合
SJ-03-15,小分類,SJ-03,認証・監査,バリューチェーン企業のうち認証・監査に該当する主体,認証・監査に該当する主体の動向・決定・発表が記事の主要論点である場合
SJ-03-16,小分類,SJ-03,コンサルティング,バリューチェーン企業のうちコンサルティングに該当する主体,コンサルティングに該当する主体の動向・決定・発表が記事の主要論点である場合
SJ-04,大分類,,規制当局・政府,規制・政策の策定、執行主体,法令、公的方針、行政処分等の主体である場合
SJ-04-01,小分類,SJ-04,国際・超国家機関,規制当局・政府のうち国際・超国家機関に該当する主体,国際・超国家機関に該当する主体の動向・決定・発表が記事の主要論点である場合
SJ-04-02,小分類,SJ-04,中央政府,規制当局・政府のうち中央政府に該当する主体,中央政府に該当する主体の動向・決定・発表が記事の主要論点である場合
SJ-04-03,小分類,SJ-04,省庁,規制当局・政府のうち省庁に該当する主体,省庁に該当する主体の動向・決定・発表が記事の主要論点である場合
SJ-04-04,小分類,SJ-04,規制当局,規制当局・政府のうち規制当局に該当する主体,規制当局に該当する主体の動向・決定・発表が記事の主要論点である場合
SJ-04-05,小分類,SJ-04,執行機関,規制当局・政府のうち執行機関に該当する主体,執行機関に該当する主体の動向・決定・発表が記事の主要論点である場合
SJ-04-06,小分類,SJ-04,地方政府,規制当局・政府のうち地方政府に該当する主体,地方政府に該当する主体の動向・決定・発表が記事の主要論点である場合
SJ-04-07,小分類,SJ-04,州政府,規制当局・政府のうち州政府に該当する主体,州政府に該当する主体の動向・決定・発表が記事の主要論点である場合
SJ-04-08,小分類,SJ-04,自治体,規制当局・政府のうち自治体に該当する主体,自治体に該当する主体の動向・決定・発表が記事の主要論点である場合
SJ-04-09,小分類,SJ-04,司法機関,規制当局・政府のうち司法機関に該当する主体,司法機関に該当する主体の動向・決定・発表が記事の主要論点である場合
SJ-04-10,小分類,SJ-04,議会,規制当局・政府のうち議会に該当する主体,議会に該当する主体の動向・決定・発表が記事の主要論点である場合
SJ-04-11,小分類,SJ-04,欧州委員会,具体的な主体の一つ（欧州委員会）,欧州委員会の動向・決定・発表が記事の主要論点である場合
SJ-04-12,小分類,SJ-04,欧州議会,具体的な主体の一つ（欧州議会）,欧州議会の動向・決定・発表が記事の主要論点である場合
SJ-04-13,小分類,SJ-04,米国EPA,具体的な主体の一つ（米国EPA）,米国EPAの動向・決定・発表が記事の主要論点である場合
SJ-04-14,小分類,SJ-04,米国SEC,具体的な主体の一つ（米国SEC）,米国SECの動向・決定・発表が記事の主要論点である場合
SJ-04-15,小分類,SJ-04,米国FTC,具体的な主体の一つ（米国FTC）,米国FTCの動向・決定・発表が記事の主要論点である場合
SJ-04-16,小分類,SJ-04,英国CMA,具体的な主体の一つ（英国CMA）,英国CMAの動向・決定・発表が記事の主要論点である場合
SJ-04-17,小分類,SJ-04,英国ASA,具体的な主体の一つ（英国ASA）,英国ASAの動向・決定・発表が記事の主要論点である場合
SJ-04-18,小分類,SJ-04,環境省,具体的な主体の一つ（環境省）,環境省の動向・決定・発表が記事の主要論点である場合
SJ-04-19,小分類,SJ-04,経済産業省,具体的な主体の一つ（経済産業省）,経済産業省の動向・決定・発表が記事の主要論点である場合
SJ-04-20,小分類,SJ-04,農林水産省,具体的な主体の一つ（農林水産省）,農林水産省の動向・決定・発表が記事の主要論点である場合
SJ-04-21,小分類,SJ-04,消費者庁,具体的な主体の一つ（消費者庁）,消費者庁の動向・決定・発表が記事の主要論点である場合
SJ-05,大分類,,国際機関,国際的な政策・データ発信主体,国際指針、統計、政策提言等の発信主体である場合
SJ-05-01,小分類,SJ-05,国際連合,具体的な主体の一つ（国際連合）,国際連合の動向・決定・発表が記事の主要論点である場合
SJ-05-02,小分類,SJ-05,WHO,具体的な主体の一つ（WHO）,WHOの動向・決定・発表が記事の主要論点である場合
SJ-05-03,小分類,SJ-05,ILO,具体的な主体の一つ（ILO）,ILOの動向・決定・発表が記事の主要論点である場合
SJ-05-04,小分類,SJ-05,FAO,具体的な主体の一つ（FAO）,FAOの動向・決定・発表が記事の主要論点である場合
SJ-05-05,小分類,SJ-05,UNEP,具体的な主体の一つ（UNEP）,UNEPの動向・決定・発表が記事の主要論点である場合
SJ-05-06,小分類,SJ-05,UNDP,具体的な主体の一つ（UNDP）,UNDPの動向・決定・発表が記事の主要論点である場合
SJ-05-07,小分類,SJ-05,UNICEF,具体的な主体の一つ（UNICEF）,UNICEFの動向・決定・発表が記事の主要論点である場合
SJ-05-08,小分類,SJ-05,UNFCCC,具体的な主体の一つ（UNFCCC）,UNFCCCの動向・決定・発表が記事の主要論点である場合
SJ-05-09,小分類,SJ-05,OECD,具体的な主体の一つ（OECD）,OECDの動向・決定・発表が記事の主要論点である場合
SJ-05-10,小分類,SJ-05,世界銀行,具体的な主体の一つ（世界銀行）,世界銀行の動向・決定・発表が記事の主要論点である場合
SJ-05-11,小分類,SJ-05,IMF,具体的な主体の一つ（IMF）,IMFの動向・決定・発表が記事の主要論点である場合
SJ-05-12,小分類,SJ-05,IFC,具体的な主体の一つ（IFC）,IFCの動向・決定・発表が記事の主要論点である場合
SJ-06,大分類,,基準設定機関,基準・フレームワークの設定主体,基準の新設、改定、認定等を扱う場合
SJ-06-01,小分類,SJ-06,ISSB,具体的な主体の一つ（ISSB）,ISSBの動向・決定・発表が記事の主要論点である場合
SJ-06-02,小分類,SJ-06,IFRS Foundation,具体的な主体の一つ（IFRS Foundation）,IFRS Foundationの動向・決定・発表が記事の主要論点である場合
SJ-06-03,小分類,SJ-06,GRI,具体的な主体の一つ（GRI）,GRIの動向・決定・発表が記事の主要論点である場合
SJ-06-04,小分類,SJ-06,EFRAG,具体的な主体の一つ（EFRAG）,EFRAGの動向・決定・発表が記事の主要論点である場合
SJ-06-05,小分類,SJ-06,SSBJ,具体的な主体の一つ（SSBJ）,SSBJの動向・決定・発表が記事の主要論点である場合
SJ-06-06,小分類,SJ-06,SBTi,具体的な主体の一つ（SBTi）,SBTiの動向・決定・発表が記事の主要論点である場合
SJ-06-07,小分類,SJ-06,GHG Protocol,具体的な主体の一つ（GHG Protocol）,GHG Protocolの動向・決定・発表が記事の主要論点である場合
SJ-06-08,小分類,SJ-06,TNFD,具体的な主体の一つ（TNFD）,TNFDの動向・決定・発表が記事の主要論点である場合
SJ-06-09,小分類,SJ-06,SBTN,具体的な主体の一つ（SBTN）,SBTNの動向・決定・発表が記事の主要論点である場合
SJ-06-10,小分類,SJ-06,CDP,具体的な主体の一つ（CDP）,CDPの動向・決定・発表が記事の主要論点である場合
SJ-06-11,小分類,SJ-06,ISO,具体的な主体の一つ（ISO）,ISOの動向・決定・発表が記事の主要論点である場合
SJ-06-12,小分類,SJ-06,WBCSD,具体的な主体の一つ（WBCSD）,WBCSDの動向・決定・発表が記事の主要論点である場合
SJ-07,大分類,,業界団体・イニシアチブ,業界ルール・共同取組の主体,自主規制、共同目標、業界方針を扱う場合
SJ-07-01,小分類,SJ-07,飲料業界団体,業界団体・イニシアチブのうち飲料業界団体に該当する主体,飲料業界団体に該当する主体の動向・決定・発表が記事の主要論点である場合
SJ-07-02,小分類,SJ-07,酒類業界団体,業界団体・イニシアチブのうち酒類業界団体に該当する主体,酒類業界団体に該当する主体の動向・決定・発表が記事の主要論点である場合
SJ-07-03,小分類,SJ-07,食品業界団体,業界団体・イニシアチブのうち食品業界団体に該当する主体,食品業界団体に該当する主体の動向・決定・発表が記事の主要論点である場合
SJ-07-04,小分類,SJ-07,包装業界団体,業界団体・イニシアチブのうち包装業界団体に該当する主体,包装業界団体に該当する主体の動向・決定・発表が記事の主要論点である場合
SJ-07-05,小分類,SJ-07,広告自主規制団体,業界団体・イニシアチブのうち広告自主規制団体に該当する主体,広告自主規制団体に該当する主体の動向・決定・発表が記事の主要論点である場合
SJ-07-06,小分類,SJ-07,農業・原料イニシアチブ,業界団体・イニシアチブのうち農業・原料イニシアチブに該当する主体,農業・原料イニシアチブに該当する主体の動向・決定・発表が記事の主要論点である場合
SJ-07-07,小分類,SJ-07,水関連イニシアチブ,業界団体・イニシアチブのうち水関連イニシアチブに該当する主体,水関連イニシアチブに該当する主体の動向・決定・発表が記事の主要論点である場合
SJ-07-08,小分類,SJ-07,気候関連イニシアチブ,業界団体・イニシアチブのうち気候関連イニシアチブに該当する主体,気候関連イニシアチブに該当する主体の動向・決定・発表が記事の主要論点である場合
SJ-07-09,小分類,SJ-07,人権・労働イニシアチブ,業界団体・イニシアチブのうち人権・労働イニシアチブに該当する主体,人権・労働イニシアチブに該当する主体の動向・決定・発表が記事の主要論点である場合
SJ-07-10,小分類,SJ-07,投資家イニシアチブ,業界団体・イニシアチブのうち投資家イニシアチブに該当する主体,投資家イニシアチブに該当する主体の動向・決定・発表が記事の主要論点である場合
SJ-07-11,小分類,SJ-07,IARD,具体的な主体の一つ（IARD）,IARDの動向・決定・発表が記事の主要論点である場合
SJ-07-12,小分類,SJ-07,WBCSD,具体的な主体の一つ（WBCSD）,WBCSDの動向・決定・発表が記事の主要論点である場合
SJ-07-13,小分類,SJ-07,Consumer Goods Forum,具体的な主体の一つ（Consumer Goods Forum）,Consumer Goods Forumの動向・決定・発表が記事の主要論点である場合
SJ-07-14,小分類,SJ-07,CEO Water Mandate,具体的な主体の一つ（CEO Water Mandate）,CEO Water Mandateの動向・決定・発表が記事の主要論点である場合
SJ-07-15,小分類,SJ-07,Alliance for Water Stewardship,具体的な主体の一つ（Alliance for Water Stewardship）,Alliance for Water Stewardshipの動向・決定・発表が記事の主要論点である場合
SJ-07-16,小分類,SJ-07,Water Resilience Coalition,具体的な主体の一つ（Water Resilience Coalition）,Water Resilience Coalitionの動向・決定・発表が記事の主要論点である場合
SJ-07-17,小分類,SJ-07,Bonsucro,具体的な主体の一つ（Bonsucro）,Bonsucroの動向・決定・発表が記事の主要論点である場合
SJ-07-18,小分類,SJ-07,RSPO,具体的な主体の一つ（RSPO）,RSPOの動向・決定・発表が記事の主要論点である場合
SJ-07-19,小分類,SJ-07,SAI Platform,具体的な主体の一つ（SAI Platform）,SAI Platformの動向・決定・発表が記事の主要論点である場合
SJ-07-20,小分類,SJ-07,Ethical Tea Partnership,具体的な主体の一つ（Ethical Tea Partnership）,Ethical Tea Partnershipの動向・決定・発表が記事の主要論点である場合
SJ-07-21,小分類,SJ-07,EU Pledge,具体的な主体の一つ（EU Pledge）,EU Pledgeの動向・決定・発表が記事の主要論点である場合
SJ-07-22,小分類,SJ-07,CFBAI,具体的な主体の一つ（CFBAI）,CFBAIの動向・決定・発表が記事の主要論点である場合
SJ-07-23,小分類,SJ-07,Portman Group,具体的な主体の一つ（Portman Group）,Portman Groupの動向・決定・発表が記事の主要論点である場合
SJ-08,大分類,,NGO・市民団体,監視・批判・提言を行う主体,調査、キャンペーン、企業批判等の主要主体の場合
SJ-08-01,小分類,SJ-08,環境NGO,NGO・市民団体のうち環境NGOに該当する主体,環境NGOに該当する主体の動向・決定・発表が記事の主要論点である場合
SJ-08-02,小分類,SJ-08,人権NGO,NGO・市民団体のうち人権NGOに該当する主体,人権NGOに該当する主体の動向・決定・発表が記事の主要論点である場合
SJ-08-03,小分類,SJ-08,消費者団体,NGO・市民団体のうち消費者団体に該当する主体,消費者団体に該当する主体の動向・決定・発表が記事の主要論点である場合
SJ-08-04,小分類,SJ-08,公衆衛生団体,NGO・市民団体のうち公衆衛生団体に該当する主体,公衆衛生団体に該当する主体の動向・決定・発表が記事の主要論点である場合
SJ-08-05,小分類,SJ-08,労働団体,NGO・市民団体のうち労働団体に該当する主体,労働団体に該当する主体の動向・決定・発表が記事の主要論点である場合
SJ-08-06,小分類,SJ-08,地域社会団体,NGO・市民団体のうち地域社会団体に該当する主体,地域社会団体に該当する主体の動向・決定・発表が記事の主要論点である場合
SJ-08-07,小分類,SJ-08,動物福祉団体,NGO・市民団体のうち動物福祉団体に該当する主体,動物福祉団体に該当する主体の動向・決定・発表が記事の主要論点である場合
SJ-08-08,小分類,SJ-08,監視・評価団体,NGO・市民団体のうち監視・評価団体に該当する主体,監視・評価団体に該当する主体の動向・決定・発表が記事の主要論点である場合
SJ-08-09,小分類,SJ-08,WWF,具体的な主体の一つ（WWF）,WWFの動向・決定・発表が記事の主要論点である場合
SJ-08-10,小分類,SJ-08,Greenpeace,具体的な主体の一つ（Greenpeace）,Greenpeaceの動向・決定・発表が記事の主要論点である場合
SJ-08-11,小分類,SJ-08,BHRRC,具体的な主体の一つ（BHRRC）,BHRRCの動向・決定・発表が記事の主要論点である場合
SJ-08-12,小分類,SJ-08,Mighty Earth,具体的な主体の一つ（Mighty Earth）,Mighty Earthの動向・決定・発表が記事の主要論点である場合
SJ-08-13,小分類,SJ-08,Rainforest Action Network,具体的な主体の一つ（Rainforest Action Network）,Rainforest Action Networkの動向・決定・発表が記事の主要論点である場合
SJ-08-14,小分類,SJ-08,Human Rights Watch,具体的な主体の一つ（Human Rights Watch）,Human Rights Watchの動向・決定・発表が記事の主要論点である場合
SJ-08-15,小分類,SJ-08,Oxfam,具体的な主体の一つ（Oxfam）,Oxfamの動向・決定・発表が記事の主要論点である場合
SJ-08-16,小分類,SJ-08,Movendi International,具体的な主体の一つ（Movendi International）,Movendi Internationalの動向・決定・発表が記事の主要論点である場合
SJ-09,大分類,,投資家・金融機関,資本市場から要求する主体,株主提案、融資条件、投資方針等を扱う場合
SJ-09-01,小分類,SJ-09,機関投資家,投資家・金融機関のうち機関投資家に該当する主体,機関投資家に該当する主体の動向・決定・発表が記事の主要論点である場合
SJ-09-02,小分類,SJ-09,資産運用会社,投資家・金融機関のうち資産運用会社に該当する主体,資産運用会社に該当する主体の動向・決定・発表が記事の主要論点である場合
SJ-09-03,小分類,SJ-09,銀行,投資家・金融機関のうち銀行に該当する主体,銀行に該当する主体の動向・決定・発表が記事の主要論点である場合
SJ-09-04,小分類,SJ-09,保険会社,投資家・金融機関のうち保険会社に該当する主体,保険会社に該当する主体の動向・決定・発表が記事の主要論点である場合
SJ-09-05,小分類,SJ-09,年金基金,投資家・金融機関のうち年金基金に該当する主体,年金基金に該当する主体の動向・決定・発表が記事の主要論点である場合
SJ-09-06,小分類,SJ-09,信用格付機関,投資家・金融機関のうち信用格付機関に該当する主体,信用格付機関に該当する主体の動向・決定・発表が記事の主要論点である場合
SJ-09-07,小分類,SJ-09,ESG評価機関,投資家・金融機関のうちESG評価機関に該当する主体,ESG評価機関に該当する主体の動向・決定・発表が記事の主要論点である場合
SJ-09-08,小分類,SJ-09,証券取引所,投資家・金融機関のうち証券取引所に該当する主体,証券取引所に該当する主体の動向・決定・発表が記事の主要論点である場合
SJ-09-09,小分類,SJ-09,投資家連合,投資家・金融機関のうち投資家連合に該当する主体,投資家連合に該当する主体の動向・決定・発表が記事の主要論点である場合
SJ-10,大分類,,研究機関・大学,科学的研究の主体,研究成果・調査結果の実施主体である場合
SJ-10-01,小分類,SJ-10,大学,研究機関・大学のうち大学に該当する主体,大学に該当する主体の動向・決定・発表が記事の主要論点である場合
SJ-10-02,小分類,SJ-10,公的研究機関,研究機関・大学のうち公的研究機関に該当する主体,公的研究機関に該当する主体の動向・決定・発表が記事の主要論点である場合
SJ-10-03,小分類,SJ-10,民間研究機関,研究機関・大学のうち民間研究機関に該当する主体,民間研究機関に該当する主体の動向・決定・発表が記事の主要論点である場合
SJ-10-04,小分類,SJ-10,シンクタンク,研究機関・大学のうちシンクタンクに該当する主体,シンクタンクに該当する主体の動向・決定・発表が記事の主要論点である場合
SJ-10-05,小分類,SJ-10,学会,研究機関・大学のうち学会に該当する主体,学会に該当する主体の動向・決定・発表が記事の主要論点である場合
SJ-10-06,小分類,SJ-10,専門家ネットワーク,研究機関・大学のうち専門家ネットワークに該当する主体,専門家ネットワークに該当する主体の動向・決定・発表が記事の主要論点である場合
SJ-11,大分類,,メディア・データ提供機関,ニュース・データを発信する媒体・情報提供主体,記事や情報の発信元となる報道機関・データプロバイダー自体が主体として扱われる場合
SJ-11-01,小分類,SJ-11,一般メディア,メディア・データ提供機関のうち一般メディアに該当する主体,一般メディアに該当する主体の動向・決定・発表が記事の主要論点である場合
SJ-11-02,小分類,SJ-11,業界専門メディア,メディア・データ提供機関のうち業界専門メディアに該当する主体,業界専門メディアに該当する主体の動向・決定・発表が記事の主要論点である場合
SJ-11-03,小分類,SJ-11,通信社,メディア・データ提供機関のうち通信社に該当する主体,通信社に該当する主体の動向・決定・発表が記事の主要論点である場合
SJ-11-04,小分類,SJ-11,データプロバイダー,メディア・データ提供機関のうちデータプロバイダーに該当する主体,データプロバイダーに該当する主体の動向・決定・発表が記事の主要論点である場合
SJ-11-05,小分類,SJ-11,ニュースアグリゲーター,メディア・データ提供機関のうちニュースアグリゲーターに該当する主体,ニュースアグリゲーターに該当する主体の動向・決定・発表が記事の主要論点である場合
SJ-11-06,小分類,SJ-11,調査会社,メディア・データ提供機関のうち調査会社に該当する主体,調査会社に該当する主体の動向・決定・発表が記事の主要論点である場合
SJ-11-07,小分類,SJ-11,コンサルティング会社,メディア・データ提供機関のうちコンサルティング会社に該当する主体,コンサルティング会社に該当する主体の動向・決定・発表が記事の主要論点である場合
